Artist,Country
Blueface,US
Kandi,US
The Script,GB
'N Sync,US
Estelle,GB
Big Sean,US
Timbaland,US
Descemer Bueno,CU
Omarion,US
David Guetta,FR
Fifth Harmony,US
Lauv,US
Paula DeAnda,US
Rivers Cuomo,US
Fergie,US
Kings of Leon,US
Ernest,US
Missy Elliott,US
Bounty Killer,JM
Alejandro Sanz,ES
Young Thug,CA
Ruff Endz,US
Lorde,NZ
Miley Cyrus,US
Powfu,CA
Chance the Rapper,US
Frank Ocean,US
Juelz Santana,US
Lil' Mo,US
Kelly Clarkson,US
Zach Bryan,CA
Wizkid,NG
Nate Dogg,US
Fatman Scoop,US
Rick Ross,US
Petey Pablo,US
Daughtry,US
Janet Jackson,US
Awolnation,US
Naughty Boy,GB
Tamia,CA
Syleena Johnson,US
Miranda Lambert,US
Xscape,US
QB Finest,US
Tweet,US
Lukas Graham,DK
Flume,AU
Grey,JP
StaySolidRocky,US
Sabi,JP
Yung Bleu,US
Aqua,DK
G-Unit,US
Mobb Deep,US
André 3000,US
T.I.,US
Evanescence,US
Alanis Morissette,CA
Kodak Black,US
Murphy Lee,US
J-Kwon,GB
Unk,US
The Weeknd,CA
Kane Brown,US
Roddy Ricch,US
Gotye,AU
Shania Twain,CA
Elle King,US
Arizona Zervas,US
Ludacris,US
Cédric Gervais,FR
Edmee,BE
Mumford & Sons,GB
Donell Jones,US
Fetty Wap,US
Kyle,US
J Balvin,CO
Drake,CA
Macklemore & Ryan Lewis,US
Lily Allen,GB
24kGoldn,US
Natalie La Rose,NL
George Ezra,GB
Gayle,US
Red Hot Chili Peppers,US
City Spud,US
Eminem,US
Beenie Man,JM
The Click Five,US
Jennifer Lawrence,US
Metro Station,US
Ray J,GB
Rikrok,UK
Grace Potter,US
Morgan Wallen,US
LeAnn Rimes,US
Doechii,US
YG,US
Lil' Scrappy,US
Diane Guerrero,US
Jordan Davis,US
Robin Thicke,US
Tove Lo,SE
Jack Ü,US
Cheb Mami,DZ
Amerie,US
Kendrick Lamar,US
Neon Hitch,GB
Marvin Gaye,US
Florence Welch,GB
Bebe Rexha,US
Joji,US
Wyclef Jean,HT
Christina Perri,US
Nelly,US
Ruben Studdard,US
Nayer,US
Kid Cudi,US
Young Buck,CA
OMI,JM
DJ Sammy,ES
Rich Gang,US
Tinashe,US
Charli XCX,UK
Meek Mill,US
Matchbox Twenty,US
Vita,VE
Aerosmith,US
Black Eyed Peas,US
Avicii,SE
Kent Jones,US
Foxy Brown,US
Pinkfong,KR
Freekey Zekey,US
Remy Boyz,US
Pitbull,US
Bazzi,US
Cascada,DE
MKTO,US
Soulja Slim,US
Fabolous,US
Idina Menzel,US
Willow,US
PinkPantheress,UK
D4L,US
The Game,GB
Jamie Foxx,US
Anne-Marie,GB
Mustard,US
Fort Minor,US
Mario Winans,US
Jimmy Eat World,US
Dev,IN
Katelyn Brown,US
CKay,NG
Neiked,SE
Dan + Shay,US
Crazy Town,US
Taio Cruz,GB
James Bay,US
Rihanna,US
Cash Out,US
SZA,US
Ellie Goulding,GB
Yo Gotti,US
Brandy,US
Angie Martinez,US
Jay Sean,GB
The-Dream,GB
Lil' Bow Wow,US
Encanto,ES
Jonah Matranga,US
Dean Lewis,US
Tinie Tempah,GB
Waka Flocka Flame,US
Lil' Kim,US
MØ,DK
Hunter Hayes,US
Rich Boy,US
Blanco Brown,US
Fun,IT
XXXTentacion,US
Snoop Dogg,US
Paul McCoy,GB
Jessica Andrews,US
Saint Jhn,GY
Bailey Zimmerman,US
Clay Aiken,US
Phillip Phillips,US
T-Wayne,GB
Chad Brock,US
Lee Brice,US
Halsey,US
Julia Michaels,US
Lumidee,US
Aaliyah,US
Kevin Rudolf,DE
Cher Lloyd,US
Anthony Hamilton,US
A Boogie wit da Hoodie,US
Flipp Dinero,US
21 Savage,US
Marian Hill,AT
Kool Moe Dee,US
Vika Jigulina,RO
Rob Thomas,NO
Destiny's Child,US
Third Eye Blind,US
Ryan Tedder,US
Muni Long,US
Ace Hood,US
Trey Songz,US
Jerrod Niemann,US
Baby,US
Yung Berg,DE
Son by Four,PR
Mae Muller,UK
Sons of the Desert,US
Selena Gomez,US
Ryan Cabrera,US
Bubba Sparxxx,US
Fifty Fifty,KR
Giveon,US
Kid Rock,US
George Strait,US
Eve 6,US
Juice Wrld,US
Field Mob,US
Fantasia,US
Yung Joc,US
Lil Dicky,US
Dirty Vegas,GB
Cee Lo Green,US
The Wanted,GB
Roman GianArthur,US
U2,IE
Sleepy Brown,US
Kevin Lyttle,VC
P!nk,US
Bryson Tiller,US
Olivia,AU
Thalía,MX
My Chemical Romance,US
A Great Big World,US
Of Monsters and Men,IS
Fall Out Boy,US
Nivea,US
Mark Ronson,GB
James Blake,US
Calvin Harris,UK
Q-Tip,US
Jon Bellion,US
Megan Thee Stallion,US
T-Pain,US
Jessie J,GB
Psy,KR
Mike Posner,US
Karmin,US
Willie Nelson,US
ASAP Rocky,US
American Authors,US
Carl Thomas,US
Elton John,GB
The Neighbourhood,GB
Sheryl Crow,US
Tim McGraw,US
Too Short,US
Afrojack,NL
Rayvon,BB
Saving Abel,US
Dixie Chicks,US
Lloyd Banks,US
Roscoe Dash,US
Rich Homie Quan,US
Evan and Jaron,US
Young Dolph,CA
J. Holiday,US
Lainey Wilson,US
Rachel Platten,US
Kyjuan,US
B.o.B,US
ScHoolboy Q,US
Migos,US
Secondhand Serenade,US
Hurricane Chris,GB
Gabby Barrett,US
Daniel Bedingfield,GB
Sean P,US
Luke Combs,US
Em Beihold,US
Rhenzy Feliz,US
Aminé,US
Beyoncé,US
Ariana Grande,US
[a],NO
H.E.R.,US
Adam Lambert,US
Santana,US
DJ Frank E,DK
Walk the Moon,US
Zay Hilfigerrr & Zayion McCall,US
Kali Uchis,US
Ying Yang Twins,US
NSYNC,US
NLE Choppa,US
David Kushner,US
Goo Goo Dolls,US
City High,XG
Ciara,US
Savage Garden,AU
Chingy,US
Baby Bash,US
Justin Timberlake,US
Passenger,GB
NF,US
Logic,US
Oliver Anthony Music,DE
Swae Lee,US
Beabadoobee,UK
Niko Moon,US
Nicki Minaj,US
Dave Matthews Band,US
Uncle Kracker,US
Ava Max,US
Parker McCollum,US
Moneybagg Yo,US
Fuerza Regida,MX
Plain White T's,US
Florida Georgia Line,US
Project Pat,US
Disclosure,GB
Wiz Khalifa,US
Foo Fighters,US
5 Seconds of Summer,AU
Samantha Mumba,IE
Martin Garrix,NL
Kacey Musgraves,US
Iyaz,VG
Daft Punk,FR
Erick Sermon,US
Christina Milian,US
Frankie J,GB
Rascal Flatts,US
Ella Henderson,US
Bad Meets Evil,US
Max,DE
Patrick Stump,US
SpotemGottem,US
Parmalee,US
Billy Ray Cyrus,US
Nickelback,CA
Amanda Perez,FR
Floetry,GB
LFO,GB
Kid Ink,US
Hollis,US
S Club 7,UK
O-Town,US
Hailee Steinfeld,US
Karol G,GB
Ritt Momney,US
Becky G,GB
Bradley Cooper,US
JID,US
O.T. Genasis,US
Playboi Carti,US
Pretty Ricky,US
Jason Derulo,US
Ruth B,US
The Pussycat Dolls,US
Diddy ??Dirty Money,US
Raye,GB
Mikky Ekko,US
Colby O'Donis,US
The Cataracs,GB
ASAP Ferg,US
GoonRock,US
Taylor Swift,US
Brenda Lee,US
Jeremih,US
3LW,US
Fat Joe,US
Zacari,US
The Isley Brothers,US
Gorillaz,UK
X Ambassadors,US
Train,US
Jennifer Nettles,US
DaBaby,US
Cassidy,US
Kylie Minogue,AU
Krayzie Bone,US
Shinedown,US
Selena Gomez & the Scene,US
Cali Swag District,US
Lizzo,US
Rema,NG
G-Eazy,US
Pooh Shiesty,US
Styles P,US
Lupe Fiasco,US
Murda Beatz,CA
Rod Wave,GB
Kate Bush,UK
Alicia Keys,US
Lil Pump,US
Travis Tritt,US
Jeezy,US
BBMak,GB
Eve,US
Flo Rida,US
Five for Fighting,US
UGK,US
Tay Dizm,US
Bun B,US
Edward Maya,GB
Jess Glynne,GB
Twista,US
Trace Adkins,US
Tyler Hubbard,US
Natalie,US
Johntá Austin,US
Kaliii,US
Lenny Kravitz,US
Darryl Worley,US
Ozuna,PR
Chris Stapleton,US
42 Dugg,US
Wale,US
Jhené Aiko,US
The Product G&B,US
